cell_id	poi_count_total	poi_amenity_count	poi_shop_count	poi_tourism_count	poi_leisure_count	poi_office_count	poi_public_transport_count	poi_log1p_total
1_74	0	0	0	0	0	0	0	0.0
1_75	2	1	0	1	0	0	0	1.0986122886681098
1_76	1	0	0	1	0	0	0	0.6931471805599453
1_77	0	0	0	0	0	0	0	0.0
1_78	6	3	0	3	0	0	0	1.9459101490553132
1_79	5	1	0	1	0	0	3	1.791759469228055
1_80	0	0	0	0	0	0	0	0.0
1_81	0	0	0	0	0	0	0	0.0
1_82	0	0	0	0	0	0	0	0.0
1_83	0	0	0	0	0	0	0	0.0
1_84	0	0	0	0	0	0	0	0.0
1_85	0	0	0	0	0	0	0	0.0
1_86	0	0	0	0	0	0	0	0.0
1_87	0	0	0	0	0	0	0	0.0
1_88	0	0	0	0	0	0	0	0.0
1_89	0	0	0	0	0	0	0	0.0
1_90	0	0	0	0	0	0	0	0.0
1_91	1	0	1	0	0	0	0	0.6931471805599453
1_92	52	30	10	1	5	2	4	3.970291913552122
1_93	31	14	3	1	3	0	10	3.4657359027997265
1_94	37	20	3	0	5	0	9	3.6375861597263857
1_95	1	1	0	0	0	0	0	0.6931471805599453
1_96	56	39	5	1	10	1	0	4.04305126783455
1_97	109	58	27	1	17	1	5	4.700480365792417
1_98	20	12	1	1	6	0	0	3.044522437723423
1_99	0	0	0	0	0	0	0	0.0
1_100	0	0	0	0	0	0	0	0.0
2_1	0	0	0	0	0	0	0	0.0
2_2	0	0	0	0	0	0	0	0.0
2_3	0	0	0	0	0	0	0	0.0
2_4	0	0	0	0	0	0	0	0.0
2_5	88	55	11	17	1	0	4	4.48863636973214
2_6	133	103	6	5	16	3	0	4.897839799950911
2_7	69	55	8	0	6	0	0	4.248495242049359
2_8	115	94	9	5	3	2	2	4.7535901911063645
2_9	336	237	44	33	14	6	2	5.820082930352362
2_10	45	41	3	1	0	0	0	3.828641396489095
2_11	75	64	0	7	3	1	0	4.330733340286331
2_12	86	69	2	9	3	1	2	4.465908118654584
2_13	34	31	1	0	2	0	0	3.5553480614894135
2_14	0	0	0	0	0	0	0	0.0
2_15	0	0	0	0	0	0	0	0.0
2_16	0	0	0	0	0	0	0	0.0
