date	published_at	cell_id	headline	text	source	url
2026-05-29	2026-05-29T07:00:00+00:00	54_56	令和８年度「能登半島地震からの復興に向けた観光再生支援事業」における採択結果 | 2026年 | 公募情報 | 観光庁 - mlit.go.jp		mlit.go.jp	https://news.google.com/rss/articles/CBMiXkFVX3lxTFBNZzFUX1ltTXlZSnBmemVHaEhoeU1KaUtlU2hvd1AwMEplMXpZZnVWN3YxdGlmNzRCU2ZEQWI5dHRCTVpsMzJ4Vkt0SWw1MTd5OEZDTUVqWm80eWtTZlE?oc=5
2026-06-04	2026-06-04T07:00:00+00:00	54_56	能登地震死者、計738人に 石川、関連死3人認定 - 47NEWS		47NEWS	https://news.google.com/rss/articles/CBMiS0FVX3lxTE9qamRxclpZMUczMldjb2M2Tkw0NjNCLVBOcVRnZWhfRTBFRUZPcFI2cFNYbG1tb3RJMU1FYjNySnduRmp3Rk1EOHJxYw?oc=5
2026-06-04	2026-06-04T07:00:00+00:00	54_56	能登地震死者、計738人に 石川、関連死3人認定（共同通信） - Yahoo!ニュース		Yahoo!ニュース	https://news.google.com/rss/articles/CBMif0FVX3lxTE1IanJwYjFmQjFvU1NDSmFBdnNhTGY5T1l4ZXBGWnhkNlVVQzBBSVV6aXpqdHFBdjZhc2h6XzFEcWJfejFSVXFFZG54MTA1dnk0UG5pbTVYM1QzeS00R3hmdUJrRWJvR3pBTjUxTG41TGRlbTNrd3BhOGh5SE1jZEU?oc=5
2026-06-19	2026-06-19T07:00:00+00:00	54_56	能登地震で直面した課題は、対策は 北陸電が経験共有へ特設サイト [石川県] [能登半島地震] - 朝日新聞		朝日新聞	https://news.google.com/rss/articles/CBMiZ0FVX3lxTE1yZ050NXUtbGtUTnRLc19ZZzk1VjRma09LaGZmRS1lM3N2OEhQcFNZcnoxQ1ZaajJwdUZYNXYzX2dfNmU2OENVV1ZybmJsX2UtamdGOW56U2l6TFZTZ1VkeURFNGdLclk?oc=5
2026-06-26	2026-06-26T20:00:00+00:00	54_56	災害公営住宅３０００戸整備へ 能登地震 なお１万５０００人仮設生活 入居まで数年 ついの住まい課題に 能登半島地震２年半 - 福井新聞社		福井新聞社	https://news.google.com/rss/articles/CBMiXkFVX3lxTFBfaG1DZEJTN2tYbGcxSzE4SjNGaDhnM3FWWGZYRnVMc3UweFdhY1owNVNEVE1WdmFOU2tNVG1RMVMtaFR4d0gwb2tzMk9jTXcxZ0pHVjBNN0RsRzVBaFE?oc=5
2026-06-27	2026-06-27T07:00:00+00:00	54_56	輪島朝市跡地で住宅再建へ 能登地震2年半で初 - 47NEWS		47NEWS	https://news.google.com/rss/articles/CBMiS0FVX3lxTFBDT21vaHVQd0g3MC0ycm0xREJzN2xoN3lkNUhvazNwVndJbGFmNEtQU3BscXc1ME0yaElBdjhvMVlFOXFlNUhhQllkaw?oc=5
2026-06-29	2026-06-29T07:00:00+00:00	54_56	能登地震の被災中学生をW杯に 支援続けるもう一人の「サムライ」 - 日本経済新聞		日本経済新聞	https://news.google.com/rss/articles/CBMibEFVX3lxTFA0VWRUS1Zfemdwb1F1LTJKNjNESlY2enBBTEwtNFJvWmVpdVc5cVNhWUkwQmYzXzd6ZkpUNjdtdHNrVF8tV250Z1c3QWJRRjVISDhVd0k2NzdIZmc4aVNldXZXWXNtQzc5NlE5Sw?oc=5
2026-06-29	2026-06-29T17:00:47+00:00	54_56	能登半島地震：能登、地震2年半 墓じまい急増 地域共同体、弱体化恐れ - 毎日新聞		毎日新聞	https://news.google.com/rss/articles/CBMiaEFVX3lxTE1TWk5RTFh2c1haYnpNUWVwaWZMS24yN3IyeGxTWHRUR2tjTGpVZE9ZRG5WbUtVM0dKdXMtdWhSbjhqcTRJTjhkb0tsOUhDWnZtRDZTLWtwMnBsMGVTNTVLaWFvb3ZySmY5?oc=5
2026-06-30	2026-06-30T07:00:00+00:00	54_56	能登地震関連死、石川で1人追加認定へ（共同通信） - Yahoo!ニュース		Yahoo!ニュース	https://news.google.com/rss/articles/CBMif0FVX3lxTE16R1R4YTZ6V1FaNFVCOW5ndllRX1dJR0VQUGd0Smh0UExsdERGNWlqdzVVaVNLbUtPNm84WlBlbjctTTAxcVplSVVwMmNOTjJ1MjBWeVlrcjBEY0hYVGh5cUdXNzA4aFVnZk5DbE9tOWJpMWs2LTUtekQ0ZjNwUlU?oc=5
2026-06-30	2026-06-30T07:00:00+00:00	54_56	【速報】能登地震関連死、石川で1人追加認定へ - 47NEWS		47NEWS	https://news.google.com/rss/articles/CBMiS0FVX3lxTE9kNGw1dUk0N0dFZVZvVlkwOFBsdkhIb1AwM1dsSHJmUTgxZ1diRjViSklLOFVQNUw3ejk3LTJMRTBYX3U5MmZ1dk9tYw?oc=5
2026-07-01	2026-07-01T07:00:00+00:00	54_56	能登地震の痕跡間近にドライブ 見えるのは「今しか見られない風景」 [石川県] [能登半島地震] - 朝日新聞		朝日新聞	https://news.google.com/rss/articles/CBMiZ0FVX3lxTE1NeTNzU21xRS1sYmVnQ0d2YTRFeFZOdlhmTENJLVJXVnQxdlE3Unh6MFIxUkYwd09LMTk1dF84UHdJNUJtU3N2bHFpVjFMVzZ2dVV2VUVCbzFsSGFKeHlwcTN6Z3huU3c?oc=5
2026-07-01	2026-07-01T07:00:00+00:00	54_56	（能登地震2年6ヵ月）和倉温泉に希望湧き出す - 公明党		公明党	https://news.google.com/rss/articles/CBMiVEFVX3lxTE55M3g0ZlZaVUJzWlZmY3BYNy1MWEhqSlUtNU15THFUdlBON21SZ29NUlc0WW53NmdNWHpmNmU4ZE5OZFFnbU0zWWZXbXhZZjAtclFuYw?oc=5
2026-07-01	2026-07-01T07:00:00+00:00	54_56	職員1190人のうち322人が全国から…能登地震被災４市町 全国99の自治体が派遣、復興に不可欠な存在に - 新潟日報		新潟日報	https://news.google.com/rss/articles/CBMiXkFVX3lxTE5HX2lVZ1B1U2dabjJjRkNLQnlXR2VibllDOHRIdkZ4UW1aZ0xRODNCN25EUVdmN2Z2RU1uOVpqYld4YVJORU8yZEZVelZjZXJ2bXZUU0dpc2lNa3hkYXc?oc=5
2026-07-01	2026-07-01T07:00:00+00:00	54_56	職員1190人のうち322人が全国から…能登地震被災４市町 全国99の自治体が派遣、復興に不可欠な存在に - 47NEWS		47NEWS	https://news.google.com/rss/articles/CBMiS0FVX3lxTE84WHhMNTU2cFlfRjZIV0JtdkNGd0dtUk1PdXJoSnFPdXc1a1kyUG12MnNCOHM1TmliWGxHR21rYzVRZjBJcHZPVlZFZw?oc=5
2026-07-01	2026-07-01T07:00:00+00:00	54_56	【能登地震２年半】業者余力なく、復興足踏み 地元限る入札、変更迫られ - 山陽新聞		山陽新聞	https://news.google.com/rss/articles/CBMiUkFVX3lxTE5qalhNNDNLQ3FMTnpTeDNPTzV6RlJrc3Z6SFljVThnSV9xQWhqZFlRQjh4Y192VHlxenZjSzBEc3U1N2txSFBocHpoQTdmaVZ2RUE?oc=5
2026-07-01	2026-07-01T07:00:00+00:00	54_56	【石川】能登地震２年半 住まい 迫られる決断 災害公営住宅 近づく申請期限 家再建 費用高騰が壁 - 中日新聞Web		中日新聞Web	https://news.google.com/rss/articles/CBMiVEFVX3lxTE9lRTQxcGVoUWJ0ZEJPVVdmZnZGaHR1NzN6cXMxSlRnbG5LTVhxS1hYUXJJZ1c4LWwxVmtSUWY4OFVVWVJBazM3a3ZvOFFpeHBJTzBKbQ?oc=5
2026-07-01	2026-07-01T20:00:00+00:00	54_56	能登地震２年半 復興長期化 職員負荷重く 人材確保へ試行錯誤 応援で「ノウハウ学ぶ」 - 福井新聞社		福井新聞社	https://news.google.com/rss/articles/CBMiXkFVX3lxTE4xa1FUSVlFT3dtZlVReklyalhPTGFQX2VtRlhjRHdtaGZOUWxaSE1LSXBrcVRTeHE4OE04Y2dLOVcwQkJ5VHFXbk1mb1RGZ25USGlmTklTMkdYaklZY1E?oc=5
2026-07-02	2026-07-02T01:27:57+00:00	54_56	【能登地震２年半】負荷重く、人材確保足かせ 災害対応「ノウハウ学ぶ」 | プライムニュース - 福井新聞社		福井新聞社	https://news.google.com/rss/articles/CBMiXkFVX3lxTE5IOVdEZDRjbjlmU0tlOTZLbjMxckh0TExNcEVTN3Z1RnBmOWs5aEM5RjlxdGpmS0Uwb0FudlFITXVGZl9KU1FuSW1pRkJDMVNSenhUcW83Rm9feUg2VFE?oc=5
2026-07-02	2026-07-02T01:27:57+00:00	54_56	【能登地震２年半】負荷重く、人材確保足かせ 災害対応「ノウハウ学ぶ」 - 新潟日報		新潟日報	https://news.google.com/rss/articles/CBMiXkFVX3lxTE43bmNITHBLWHVVc3ZULWxCX1RTRjFaNkdRZzJnRldBLXR6SXZBRFY4V1YxUmRyQU5uN3RsX0ZRZnFmRFNnZGlYSXNtTWZqWWxlaXhYWWRKel9VNjd6QkE?oc=5
2026-07-02	2026-07-02T07:00:00+00:00	54_56	能登地震：路線価、被災地は下落も率縮小 復興への期待反映か 「観光の魅力向上でさらに圧縮」 ／石川 - 毎日新聞		毎日新聞	https://news.google.com/rss/articles/CBMiaEFVX3lxTE5yRi0xeE5nR2N6d3FyVWpTTnRza1ZMbDVBMFllNTJ4MHNUWEE3UHlZclYxN1VINVo0OXJ3UmNSWnB3ZnNUU3pkUi1wWmJKVFZMbk96OTJ2NkxDSlh6TUVHbktOS3VtMFh3?oc=5
2026-07-03	2026-07-03T00:22:10+00:00	54_56	（能登地震2年6カ月）人の温もり心にしみる - 公明党		公明党	https://news.google.com/rss/articles/CBMiVEFVX3lxTFA1MlRDWnVxd0FEWW93MnI2WWdTSWZxOGJtV1dOVF9UMnQxUDhFMkVuREd4Y01RNGJRaDRVWUR2NFVJXzFVNG5NNWw5aS1EMV8yelBTRw?oc=5
2026-07-03	2026-07-03T07:00:00+00:00	54_56	能登地震：石川・輪島など4市町 3割全国から応援職員 ／石川 - 毎日新聞		毎日新聞	https://news.google.com/rss/articles/CBMiaEFVX3lxTE5tZk5hLTlBc0F2U1VON3J3eU5LXy1jTWpKY2lZOE8wZHpHMXN0ZHlDTXhjVDdlTDdINmlQOGZKeFh5c1UwcjNnS0p4Tzd4UlRZcWppd095M1Qyd3pnNjlTU0R2QzFadmdv?oc=5
2026-07-03	2026-07-03T07:00:00+00:00	54_56	石川・能登町で「あばれ祭」始まる 能登地震被災地に熱気 - 日本経済新聞		日本経済新聞	https://news.google.com/rss/articles/CBMibEFVX3lxTFBhNjNpcG9faklyLVlkSmtSWmQ5VlA5b1pjdzZFY0lkN19wVGJpVGRRcXVYVldZQjdYQWtFSDlkTkZpSWloY2Q3eUR6VTBPWHlYRU0xdXlhZWprektQRE1QMkEyT3E1RTJ4VVZjag?oc=5
2026-07-03	2026-07-03T07:00:00+00:00	54_56	能登地震で被災の黒部峡谷鉄道、全線再開へ（共同通信） - Yahoo!ニュース		Yahoo!ニュース	https://news.google.com/rss/articles/CBMif0FVX3lxTFBOcXdqX1F6enBJekNZdnFHcHo0Sm5uOHROei1BSXdQY2k1MTN2Uko2Uk0xUWFOYlJfMDUtS3ZSQy0ySWRvMmZBcS1jcWVoSTdadHJ5TThtWnhhZDNFOGdrMjVyNHlLdzhCWmRsNmZYamZlYjN5YkJ3OTJtY21fWTA?oc=5
2026-07-04	2026-07-04T07:00:00+00:00	54_56	能登地震被災者に安心を 移動販売通じ見守り活動（共同通信） - Yahoo!ニュース		Yahoo!ニュース	https://news.google.com/rss/articles/CBMif0FVX3lxTFB3UkxLNWZRWDQ3bUt2OTA2VTFFWEhmMlRfZElvNjRBUXhxZ2JZelExVzJJbjhJc24tQzlXc1JKYUQzSGM2UkR3THJjRWFmWHNTeWR3SzdWZnNyOWlMX1ZlSmZDOEQxUlZMTWFyVHJoeHZ5ZFhqVlBnaTVwZUtvZmc?oc=5
2026-07-04	2026-07-04T07:00:00+00:00	54_56	能登観光アプリ「めぐり」の開発～自分たちの強みで、相手が本当に求める支援をしたい - 東洋大学		東洋大学	https://news.google.com/rss/articles/CBMiUEFVX3lxTE9PZ1VkTk1PX19aOEZ0X1BoTDdON0VWdEdkc1VydERCYUR6UXhhS3AwQlJXQzVsNVZiUGpNSkE5UDVIYmdiVjI5eGMtSlptTXVN?oc=5
2026-07-07	2026-07-07T07:00:00+00:00	54_56	石川県の能登地震被災4市町、業務プロセス改革 全県展開の先例に - 日本経済新聞		日本経済新聞	https://news.google.com/rss/articles/CBMibEFVX3lxTE5uQ3dENXQxUXUyVHJRajg2ZlBCT0hUX0VXd1d1WjhJcVJYUjZJZk9MdGo5NWR3RHFESGVtRk12QkxOcHM2NEZhYzQ0M3NlQXhNaS1fZ0xZZmY2d3JZT1J1Uzg1WkEwNDgtUEhSNA?oc=5
2026-07-07	2026-07-07T20:00:41+00:00	54_56	能登地震：復興の兆し、放送中 石川・輪島の災害FM開局1年 楽しく情報届け、日常の一部に ／石川 - 毎日新聞		毎日新聞	https://news.google.com/rss/articles/CBMiaEFVX3lxTE83aG5lSXJyN3p0emFrRzNpZXdoTnQ5UDREVC12cXZVNnVqQUMwRllfajR3Q2FPamJlMm04RGprcjUtWm9SMlY4MHVjVjU5OGxCZDBvdlNoNVlueWwwdkhkQ19ub09IR3ZV?oc=5
2026-07-09	2026-07-09T20:00:52+00:00	54_56	能登地震：輪島塗、戻らぬ生産体制 地域外の製造困難 「産地全体で対策を」 ／石川 - 毎日新聞		毎日新聞	https://news.google.com/rss/articles/CBMiaEFVX3lxTE0xeHZVLWlOWjlXVVViUVFpQW82Q05lSXlPSW1tVHhwXzVLbUY5ekFmS1VRZDRMRExvRGN1X09UVTktXzVDRGJBb2pnQ1Q3V3BBSEVYNXRFUDRGbWxhc1dHaDExMWVjSWJY?oc=5
2026-07-11	2026-07-11T23:01:21+00:00	54_56	「次地震があったら潰れるだけ」土台と柱がずれたまま生活 “見えづらい”被災地・石川県七尾市のいま 「認知症やうつ病が進んできて…」新たな課題 能登半島地震から2年半（FNNプライムオンライン） - Yahoo!ニュース		Yahoo!ニュース	https://news.google.com/rss/articles/CBMif0FVX3lxTFBOc1lwNkVJcFNhVmJZbFM2RnhlelFaX19vYm1pcEFGR1BJdVIxWWFiN2ViYVJzTXMzeUowNHJHRVVEVnRKTG9HRjVFOXY5ZlFEU0lvNDlCMlNYVDlNTTYxcWZzYmlaNjZ4eFNqWjFoMEVva2pXRWkyZE5zQm5kU0k?oc=5
2026-07-11	2026-07-11T23:03:00+00:00	54_56	「次地震があったら潰れるだけ」土台と柱がずれたまま生活 “見えづらい”被災地・石川県七尾市のいま 「認知症やうつ病が進んできて…」新たな課題 能登半島地震から2年半 - au Webポータル		au Webポータル	https://news.google.com/rss/articles/CBMie0FVX3lxTE5YYm5IWE5VSzE5c1MyUjF5SUN0NC04MXc0Q1ZnRV84bEJ1X3FtZXFpTE0yb3VyMEFHNUF1NUhHZ1FHeF8zZXpzanF6VHJ2Nm1oY29LNVFqdWVjdUhna1dWbjFHVmJnTENsckJhWU51cURqcHVCdXYwclR3UQ?oc=5
2026-07-12	2026-07-12T09:25:01+00:00	54_56	情報が錯綜した能登半島地震の教訓 能登町が模擬記者会見を初実施し正確な情報伝達を検証（石川テレビ） - Yahoo!ニュース		Yahoo!ニュース	https://news.google.com/rss/articles/CBMif0FVX3lxTE9GdksyZXlWRTVQSkRpSXpIb2paZVhydFVPa09CMFZxQnJyeHZGeUhrV2dhcmNObFB1ZDhtTVJBVWdsS2JBTGFfU2tJODdTaWw0TURpR1A3cjdIRmF6ZWl0VDU1cjVlT25KRFNDN0FndlhFaVd2Zkt6Zjl1ak1sQUE?oc=5
2026-07-13	2026-07-13T05:46:00+00:00	25_44	石川県で最大震度1の地震 石川県・珠洲市 - TBS NEWS DIG		TBS NEWS DIG	https://news.google.com/rss/articles/CBMiZEFVX3lxTE1EdmZQcm1oSWdTYXMyVUR1VWZfQktfVW5Lam5PdXA0d19VZThVYUlCRkJSOWI5bEtnZDVxcWlGckt2MGRLM2VseG1jaHQ5cDZzZlVQaUlzSjgtY1pTWUctbkpzSS0?oc=5
2026-07-13	2026-07-13T05:47:18+00:00	25_44	石川県で最大震度1の地震 石川県・珠洲市（FNNプライムオンライン（フジテレビ系）） - Yahoo!ニュース		Yahoo!ニュース	https://news.google.com/rss/articles/CBMif0FVX3lxTE5NUkNDdndEb2RpcWFYOTdaaF9OSkl0dEJZNHAyVmc4LVNjbWJxalluZU5FNU1RSEpibjVsVkd6dzVzVEtkMlYzc1IzUkhUXzhpZUhhRldYSXl3OWxiWktJWnNJam9lUkZKTUx2bE44SkpPbzF3S2lIcjFDRVlrZ28?oc=5
2026-07-13	2026-07-13T07:11:01+00:00	25_44	石川の魅力を再発見 外国人観光客が金沢の暮らしや文化を体験するモニターツアー（テレビ金沢） - Yahoo!ニュース		Yahoo!ニュース	https://news.google.com/rss/articles/CBMif0FVX3lxTE16MHB6NDZUajZrdE5LU2xQR0l2elNoRUk5UVFfcWNzMkVNSmhjVnFCdkViWG9GdV9GNV9UajVPSHNyWGJlekVwZHJJOXoxVVZDQjRJbjZ4MGIxaTFEc2ZHcktPTUpXOUJGcFRQbjFWS2Qzall4dGlKb1RZZm16dE0?oc=5
2026-07-13	2026-07-13T20:01:31+00:00	54_56	能登地震：地域の防災力高めたい 輪島 全中学に自主防設置 全国で4例目 ／石川 - 毎日新聞		毎日新聞	https://news.google.com/rss/articles/CBMiaEFVX3lxTE1jM2s0WHNDVW1RUmpiUzFJeHlVSVNRYWVCWFJabDNLRnZaVU1qcUFNdnBsRHZDN0JIaGt3ZVk0aG5sOWx5cWxCajVUTUtuQTNxc2gxUEdiMWFxeUwtRlB1UGowdmhrUV9r?oc=5
2026-07-13	2026-07-13T22:00:00+00:00	54_56	「この風景を見たかった」能登半島地震で休業のオモウマい寿司店、2年半ぶりに営業再開 - マイナビニュース		マイナビニュース	https://news.google.com/rss/articles/CBMiXEFVX3lxTE1UWm1wM1J2X3pfUUNRV3oyVGJXemVxUVZKbWc2UjNBZ1JWcGhZNFRjVjFsMGVuRDRtUVAwR2h6b1JOSGxfRXg5cldydnFzdWlsUUFkQmhidFhzcEV0?oc=5
2026-07-13	2026-07-13T23:57:37+00:00	54_56	愛知に避難中の能登半島地震被災者が交流 「やわやわと慣れてきた」郷土の言葉で前を向く声も - 中日新聞Web		中日新聞Web	https://news.google.com/rss/articles/CBMiVEFVX3lxTFBIdExMR3h4dm5JS2xpQ3QydnhRaDVIUzVpT0Ffd0JXMnpMeE0ySHhqLWxDa2p6UUNiUllrazQxcEtzRUQyZFhab3JuWjRpSmIyREd4eg?oc=5
2026-07-14	2026-07-14T03:10:00+00:00	54_56	『オモウマい店』能登半島地震で休業→2年4ヶ月ぶりに営業再開へ 寿司店「津久司」最新映像を紹介（オリコン） - Yahoo!ニュース		Yahoo!ニュース	https://news.google.com/rss/articles/CBMif0FVX3lxTE9GSVlpa3A1Q1ozUlhOUkhfSGpncEpqY0lZbVFtTy1NaWkwYTE5V3pUeWJLa2E1TVU4S2V4N19YVnVpajdHeDhsSDlTTkFqaW4xSl9TQWJyblhXR3FsZ1NaWHd2N1dsOWJNdEM3TGdCS2c1RnZmc3JRZkJydlBWUFk?oc=5
2026-07-14	2026-07-14T05:57:38+00:00	54_56	NHK山内泉アナ：「能登半島地震」初動対応時は“極限状態”だった 「葛藤は今でも自分の中に」と振り返る - Mantan Web		Mantan Web	https://news.google.com/rss/articles/CBMia0FVX3lxTE1scVJnVVp4MUcwVnRudDdZdVJPR0VabGU4Nk90QTVraE1HWVcwREhPb0trOWg2dnlCLUxlZEN1RVFMVEtRZG9VbEZfN1JYbjk5MHZ5R1pIRDdVSVJaV1JsSUdhNHNwRkl3UjNN?oc=5
2026-07-14	2026-07-14T07:30:00+00:00	54_56	【地震から2年半】1万4800人が仮設住宅暮らし、落語で能登に笑顔と元気を届けたい…三味線奏者ら出張寄席 - 読売新聞		読売新聞	https://news.google.com/rss/articles/CBMickFVX3lxTE1pZGVvTHQxdHl3a1hzS3RpdUtBSVJzdk1ScUVRaHBjT2ZSS3V6LThZcTlxZ3dab3hPYjhlV0tVVjVsRHZhRDM4b2dNVDFuSms1Ti1lbnd1d1BiTlZtTjcxWHVjcV9aRXdDNnFRTThfa2Vkdw?oc=5
